artist,title,spotify_uri
Kapo,OHNANA,482PEx8hfMHSsuGtHd960A
"Tony Dize, Yandel",Permítame,6OaGIYcVzx5c7aEKkuYS1M
"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,569xAmXCkpM3IsEOiG4hWe
"Topboy TGR, Kzadores",MÁS DE AHÍ,4ATzrqMF84B9iSCGUUqfTT
Yeison Jimenez,Se Acabó,2T6BBNQW4t81x2ddqWrGzs
"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",10B0cONtHL7b8hdMRE2Du6
"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),5q2JbCNi4FcnglgPfxcV65
Fuerza Regida,Marlboro Rojo,3hpm0fTeSqlhJbnqAgaLZs
Frankie Ruiz,Tú Con Él,6cHHrFD3fmBG9MR3k8kvep
"KAROL G, Marco Antonio Solís",Coleccionando Heridas,3ddJ8Vbc5tYPxq5zKRVke6
Bad Bunny,MONACO,4MjDJD8cW7iVeWInc2Bdyj
Yeison Jimenez,Ni Tengo Ni Necesito,6829KtrgNt2ZwrsE19nTEd
"Kris R., Blessd",Las Piponas (Remix),281YJmnThveWjsWVic9Ym6
Luister La Voz,Amarte más no pude - En vivo,1OHj2WRXOR9XdCV6PuptXv
"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,2ALQyXMC26Vew7JX7ert9M
"Rauw Alejandro, Romeo Santos",Khé?,1YYfyJ2yCvGFCxwjsIqEK9
Yeison Jimenez,Qué Día Es Hoy,5PB1ITleNasy7UMYEaBWkL
Zion & Lennox,La player (Bandolera),0VKkyBKCXyR99navhVRqcP
"Kris R., Blessd",COSITAS,3ClyThLf2bguwdMcm7hqZ2
"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,2tKVinInf0PJS1iG04zzqi
Beéle,si te pillara,1C7NXX8UJ6pgNx8EkmyZDd
"Don Omar, Kendo Kapponi",RX,3NgDulHteTVdF026IxY5bW
Willie Colón,Oh Qué Será?,2n1MTLCis6qPSDKdr5XSDI
Blessd,Palabras Sobran,4wu7jIeJCUhQJaXsXVit0e
KAROL G,Si Antes Te Hubiera Conocido,73scB4Q4fcOmnsBVZPmk32
