artist,title,language,spotify_uri
Patrick Brasca,單程票,unknown,3woBOD3Ldh81fAwpsnD8yC
"Top Barry, INDEcompany",一半一半,unknown,21x0N6lu6D9kO8rVtTU3mH
V,Love Me Again,unknown,2N0SPREDYqILVEFSsWF5N5
HWASA,Good Goodbye,unknown,3cLXrotzCjYCkN73PewALM
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,unknown,1CPZ5BxNNd0n0nF4Orb9JS
Evangeline Wong,離開我的依賴,unknown,23WLgtD54AeluEPRr5muHo
BLACKPINK,Fxxxboy,unknown,7m0duH1vdTNxM2g8BLfR0F
IVE,BLACKHOLE,unknown,2ytQFMxdreEFPPZTtyDdqM
黃奇斌,若無你我欲去佗位,unknown,76EfpqmO6JUL2TTR1SIGwz
"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),unknown,4UwZyC0wEV6XDEAr9kaQhi
Jay Chou,擱淺,unknown,0cOMncRq4cmDLO4tPQnkBF
BLACKPINK,Me and my,unknown,5MXcM263QvCTWriH3nVusc
KiiiKiii,404 (New Era),unknown,24rDDbSlFY9OHrlJb48CRh
Bestards,離開的一路上,unknown,1NoDTQhJsrd5rnpb6PQthK
Crowd Lu,一夜一夜一夜,unknown,3wofqqt5YJWdhLI9IFaX39
JENNIE,like JENNIE,unknown,0fK7ie6XwGxQTIkpFoWkd1
Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,unknown,4F7ZAsndEIJXyFzJUHNlRu
"i-dle, skaiwater",Mono (feat. skaiwater),unknown,3VxmXJ4FdtbWI27p3Gx4Wh
EggPlantEgg,閣愛妳一擺,unknown,4Zwn8WxD61diTwqv9hyTQA
Stefanie Sun,遇見,unknown,3xJK8ywApYVEYIDhymYMC6
CORTIS,GO!,unknown,6OWWZtNQORY1McaZmOrwhc
Stefanie Sun,我懷念的,unknown,7z2M7DsEjZjwXBkWG3zd21
ROSÉ,toxic till the end,unknown,1z5ebC9238uGoBgzYyvGpQ
BABYMONSTER,PSYCHO,unknown,491ca80N1C63tpoLvAsLKb
Khalil Fong,愛愛愛,unknown,59lBAMCis4C6NsPdUV35Vz
"LE SSERAFIM, j-hope",SPAGHETTI,unknown,2N9miXnewVmUrgl6JSK1FI
"Patrick Brasca, 陳華",你沒等我去的舊金山,unknown,1aNVW0fujBVx7JTorTO1jn
Bestards,不是因為天氣晴朗才愛你,unknown,2VEt42QSQxILgEf9B50xxm
aespa,Whiplash,unknown,7Cnpb1vBbC46RgVyyKLH7p
Amazing Show,愛情的大壞蛋,unknown,5HVq8nS0pbM6G7YK8M7DY4
Jay Chou,晴天,unknown,5pIcwtJYNJx93l420oR2Vm
A-Mei Chang,連名帶姓,unknown,3LlQoKvVnkVvq3KC8anUn8
