rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
177,"spotify:track:6439IQyiZV5I7aOo8UREgm","Amazing Show","擋一根","Amazing Show",48,-1,157,"98031"
178,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",88,134,4,"97983"
179,"spotify:track:0ONg8VCxzW3CCNDxDY0DNe","Sam Lee","最近","Rock Records Co., Ltd.",150,150,3,"97914"
180,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",13,-1,126,"97858"
181,"spotify:track:37xebnhvUyM8VyyDDeo65d","LNGSHOT","Never Let Go","MORE VISION",44,128,7,"96848"
182,"spotify:track:4D4KVgVNxed4Hd3rGWlCo2","F.I.R.","Lydia","WM Taiwan",83,-1,23,"96827"
183,"spotify:track:7IiSESHLOtsoEXTlXa0bjJ","Nicky Lee","想太多","音岄有限公司 iNmusic Ltd.",21,-1,141,"96271"
184,"spotify:track:4bDJJr7yG31MApWuvEasAo","颜人中","有些","中视鸣达",14,176,244,"96172"
185,"spotify:track:7CTitzr4eVIDCPUJi5Dr4B","David Tao","普通朋友","Gold Typhoon Taiwan",90,144,56,"96118"
186,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",3,159,146,"95773"
187,"spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew","aespa","Drama","SM Entertainment / Warner Records",4,173,99,"95704"
188,"spotify:track:63N9fNPJ5kkbvtntCwgIbm","icyball 冰球樂團","能不能和我留在台北（陪我幾天）","何樂音樂有限公司",37,165,90,"95387"
189,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",17,104,37,"95109"
190,"spotify:track:51fGtLs5vdK2NOumVhMXru","Wu Bai","夢醒時分","Universal Music Taiwan",38,137,53,"94967"
191,"spotify:track:70t7Q6AYG6ZgTYmJWcnkUM","IVE","I AM","Starship Entertainment",2,172,93,"94707"
192,"spotify:track:7iXPSlDdL0EQwPFtUR8ye1","BY2","我知道","Ocean Butterflies",166,-1,3,"94512"
193,"spotify:track:3fEX9NgOeklq816Fw00uoo","XG","HYPNOTIZE","XGALX",60,166,6,"94199"
194,"spotify:track:2VKGO4DNyUK5UxCQB3b3DF","ATEEZ","Adrenaline","KQ Entertainment",93,125,4,"93956"
195,"spotify:track:25pWemriUQVrZ3yIiS2IBf","Eason Chan","十年","EEG",54,-1,243,"93684"
196,"spotify:track:1sl9O7VLwGwdw4iXqnkbDP","Eric Chou","想念你想我","WM Taiwan",19,180,58,"93407"
197,"spotify:track:5evE7bweEhX83fd1ZmwPjP","Eric Chou","摯友","WM Taiwan",6,170,117,"93087"
198,"spotify:track:7a6vvAM1cjAuyVQpqv9pmu","BABYMONSTER","FOREVER","YG Entertainment",2,179,76,"92939"
199,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,162,167,"92901"
200,"spotify:track:6gYS6CQc7UMnj0Ubq3C0QT","马师傅","善后","星罗文化传媒（成都）有限公司",124,163,14,"92673"
