rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
164,"spotify:track:23atyJacJVHvB9RHBNhr35","MONGOL800","小さな恋のうた","TISSUE FREAK RECORDS",7,163,406,"404141"
165,"spotify:track:3voShTcaRtbYVSPGuCLAzw","Kenshi Yonezu","1991","Sony Music Labels Inc.",4,139,21,"403177"
166,"spotify:track:5LclntckGFFGFUVGJk9Z4x","back number","新しい恋人達に","Universal Music LLC",3,183,73,"402743"
167,"spotify:track:7oS96qmtYu3AdEX29HNAKf","Snow Man","STARS","MENT RECORDING",66,105,5,"401922"
168,"spotify:track:7ibCDEx4MOX9zG8IS7gGDE","Number_i","未確認領域","TOBE MUSIC",13,-1,29,"401641"
169,"spotify:track:3P2aSkjcbUYbcYr13EFE8n","SPITZ","空も飛べるはず","Universal Music LLC",71,176,181,"398703"
170,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,182,138,"398294"
171,"spotify:track:6megNXGjmim4OitjZnIn9v","Kenshi Yonezu","春雷","Sony Music Labels Inc.",128,157,12,"397750"
172,"spotify:track:3kQf453SpkwX7ALdgzNSNY","Vaundy","呼び声","SDR Inc.",87,181,10,"397610"
173,"spotify:track:04e72JtsOIIlHUQ7CvWwvX","Vaundy","Tokyo Flash","SDR Inc.",80,158,212,"397183"
174,"spotify:track:0NHu2Lo9MWkvhOggEy1bYg","Kenshi Yonezu","BOW AND ARROW","Sony Music Labels Inc.",10,143,52,"395797"
175,"spotify:track:3vXHM9HaxNYrky9r1zxLWa","CHANMINA","Angel","WM Japan",87,146,19,"394783"
176,"spotify:track:3V5bJpqNCHHi56pGZHNy1f","Kaguya(cv.Yuko Natsuyoshi), Yachiyo Runami(cv.Saori Hayami), TAKU INOUE","ray - Cosmic Princess Kaguya! Version","Various Artists",176,-1,1,"394056"
177,"spotify:track:3awymLmIrvn9lkJeFpmRSf","HIRAIDAI","また逢う日まで","avex trax",75,-1,123,"392904"
178,"spotify:track:0ve9Tpz8Yw0I4eXhWsy21o","[Alexandros]","ワタリドリ","Universal Music LLC",7,150,381,"392895"
179,"spotify:track:3HGHvxci8vnRg7RZ5E6lzi","noa","1000 days of moments","noa",25,199,30,"390265"
180,"spotify:track:2bonDeesq7NsHnfeMNDhZv","クレイジーウォウウォ！！","Tontsukatantan","Crazy Wowow",180,200,2,"390115"
181,"spotify:track:1jzBL9oiCg4qaZbazOxBQ8","SixTONES","一秒","Sony Music Labels Inc.",161,161,2,"389848"
182,"spotify:track:7emibp3qHeqNNYqZ2Y09xb","ORANGE RANGE","イケナイ太陽","Sony Music Labels Inc.",34,168,52,"387743"
183,"spotify:track:2Co1E8jcju2tCgPZIqxkTr","Mrs. GREEN APPLE","breakfast","Universal Music LLC",2,166,40,"386634"
184,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,160,72,"386084"
185,"spotify:track:7mSVOYRseiZi20xtBKhHnF","MISIA, HIDE (GReeeeN)","アイノカタチ","Sony Music Labels Inc.",7,188,214,"385969"
186,"spotify:track:1TZjEATJpF5LaVL7oJHDMn","ONE OK ROCK","Wherever you are","Universal Music LLC",5,185,357,"385869"
187,"spotify:track:5j7ixaLeGTGSv4DzKs0pCM","Yorushika","だから僕は音楽を辞めた","U&R records",51,153,240,"385635"
188,"spotify:track:5M1nuhRqpXnrkAIltucV7I","BE:FIRST","街灯","B-ME",28,159,13,"384913"
189,"spotify:track:1WutVejYvP7220sofj3xId","back number","僕は君の事が好きだけど君は僕を別に好きじゃないみたい","Universal Music LLC",122,171,30,"384347"
190,"spotify:track:3xIy1bAkKbLtXdzHKwCjqE","=LOVE","ラブソングに襲われる","Sony Music Labels Inc.",84,174,23,"382581"
191,"spotify:track:1H3qOzheTPhE7aVvJOWfvA","SPITZ","美しい鰭","Universal Music LLC",2,186,149,"381599"
192,"spotify:track:0voOaunLYYqPHrsgXbFVlW","Da-iCE","I wonder","avex trax",3,-1,94,"381457"
193,"spotify:track:5XyD56RYaj2XGxfyc34jQD","Yuuri","世界が終わりました","Sony Music Labels Inc.",167,175,6,"378999"
194,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,187,125,"378106"
195,"spotify:track:0V2axJ946WH1vt9t5SGMLV","AI","Story","Universal Music LLC",19,-1,194,"377545"
196,"spotify:track:22aZD7yaGYfhgCYazL4nbc","HY","366日","TV ASAHI MUSIC CO.,LTD.",7,180,233,"375724"
197,"spotify:track:5NTtQCnREVVfZuBjVMF4dm","Shota Shimizu","PUZZLE","Sony Music Labels Inc.",14,196,48,"374721"
198,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,164,136,"373238"
199,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,189,153,"373233"
200,"spotify:track:7M0dIdZWN1FDcveRdoOzbZ","Yuuri","ビリミリオン","Sony Music Labels Inc.",5,195,157,"371838"
