rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
70,"spotify:track:4HyPxBQDLUnY3w7gukITrW","Tainy, Rauw Alejandro, JHAYCO","ROSITA","NEON16 LLC",38,38,2,"674569"
71,"spotify:track:4yWrEuYXr9YB1nHbuPxfUU","Clarent, Omar Courtz","Scat Pack","WEA Latina",20,70,28,"664451"
72,"spotify:track:6f68Ac5tt5BQOpwr0BV9oN","Bruno Mars","I Just Might","Atlantic Records",44,153,8,"658255"
73,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",1,59,75,"648082"
74,"spotify:track:0txzIz1WcoAn6m07xypcD5","Arde Bogotá","La Salvación","Sony Music Entertainment",53,78,85,"640307"
75,"spotify:track:3Y1xjjepdqMP141ipYCAqA","Rawayana, Manuel Turizo","Inglés En Miami","Rimas Entertainment LLC.",62,72,6,"638125"
76,"spotify:track:2aG4AXf3TUtlmk4s9BLYDi","Romeo Santos, Prince Royce","Lokita Por Mí","Sony Music Latin",33,77,13,"631099"
77,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",52,83,53,"626837"
78,"spotify:track:75DhU4mfqAkkqsL7CiYWLa","Omar Courtz","SIRENA","Rimas Entertainment LLC.",51,51,2,"613288"
79,"spotify:track:5AK6QqM8aUXXTk6oY00ZRh","Yan Block, De La Rose, Hades66, Ñengo Flow","444 - Remix","Sonar LLC.",8,82,18,"610585"
80,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",7,81,72,"602412"
81,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",40,86,169,"599883"
82,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,118,197,"587326"
83,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",6,87,252,"582493"
84,"spotify:track:6OoYmAP9oZtBiSomWpDTWP","Omar Courtz","L a k e n o s h i","Rimas Entertainment LLC.",48,48,2,"579922"
85,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",2,90,81,"574059"
86,"spotify:track:7lcbpfihslisNObKdHjyLo","Clarent, Mora","IA","WEA Latina",1,80,71,"569028"
87,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",19,103,105,"568730"
88,"spotify:track:0Ze1qv8LIgg5Y7Bu4jzXIo","Bryant Myers, Dei V, SAIKO","Duro Ma","Rimas Entertainment LLC.",26,88,31,"568413"
89,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",6,96,220,"568326"
90,"spotify:track:58ldPuiCULxm08TCZ8qX4D","Quevedo, La Pantera","HALO","2024 DQE Productions Distribuido por RIMAS Entertainment",7,75,67,"567735"
91,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",48,94,16,"566610"
92,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",41,101,136,"564835"
93,"spotify:track:3tMftGMXTPbQlmjh4FzXpZ","Dani Fernández","Me has invitado a bailar","WM Spain",17,93,80,"561465"
94,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",38,99,98,"560814"
95,"spotify:track:6IuZFiKCeyQINqL0Id3xF2","Viva Suecia","El Bien","Universal Music Spain S.L.",82,89,50,"554705"
96,"spotify:track:2BvPMS2XWfnCpHHvWeOyeC","Mora","DETRÁS DE TU ALMA","Rimas Entertainment LLC.",18,100,42,"551576"
97,"spotify:track:3LTHhkihfdgYtQMUNJQBgv","Melendi","Fecha de Caducidad","Sony Music Entertainment",97,-1,1,"551378"
