rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
139,"spotify:track:3Qj9Fy8BPbWmICTiNkuqB7","Jay Chou, Lara Liang","珊瑚海","Universal Music Taiwan (JVR)",76,128,115,"63346"
140,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","The Weeknd/Lyric",3,146,240,"63306"
141,"spotify:track:2aL4lMGhWdPpyPL6COPou7","keshi","Soft Spot","Island Records",10,99,77,"63281"
142,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",101,102,16,"63003"
143,"spotify:track:2N9miXnewVmUrgl6JSK1FI","LE SSERAFIM, j-hope","SPAGHETTI","SOURCE MUSIC",11,111,19,"62938"
144,"spotify:track:5Sib99jpYybZAicUMETb3h","Joker Xue","演员","潮石音乐",56,136,371,"62735"
145,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",2,162,198,"62701"
146,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",4,103,98,"62005"
147,"spotify:track:4GEWZ1vDFVkmhG55zpKFLO","郭家瑋, DIOR 大穎","過了幾天(合唱版)","JSJ International Entertainment Ltd.",22,121,62,"61731"
148,"spotify:track:0VTzUEuHYD8s7CgQ15cDPo","Khalil Fong","特別的人","Fu Music Limited",46,153,13,"61592"
149,"spotify:track:1JLtvvPsHwLyd2ufASdkWV","阿涵, Ayo97","感谢你曾来过","汇音文化",74,137,156,"61032"
150,"spotify:track:1vfUASvUGt3gxQ1x3T3u1C","en王翊恩","嚣张","嗨库文化",24,124,301,"60897"
151,"spotify:track:2fuYa3Lx06QQJAm0MjztKr","Radiohead","Let Down","XL Recordings",44,148,40,"60347"
152,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",13,143,75,"60327"
153,"spotify:track:6aJn7Cst74cj4lNIiPRgav","KATSEYE","Touch","HYBE/Geffen",7,119,77,"60137"
