rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
142,Yeison Jimenez,Tu Mal Sabor,Colombia,1LNLFgc99bgCWPAaJ9zUQi,null,null,null,null,null,null,null,null,null,null,null
144,Beéle,frente al mar,Colombia,1i1n7hUzCDkXGFqIJSSzom,null,null,null,null,null,null,null,null,null,null,null
145,"Maluma, Yeison Jimenez",Con el Corazón,Colombia,1xTWu5aArww0QtXqX2ScBI,null,null,null,null,null,null,null,null,null,null,null
146,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,Colombia,7hynhxDoDpgMIV12JuVtNa,null,null,null,null,null,null,null,null,null,null,null
147,"El Americano 4KT, THE FAVORITES",MAMAXITA,Colombia,3UJN0IUZIeXnrmo48e6XXx,null,null,null,null,null,null,null,null,null,null,null
148,Aventura,Dile al Amor,Colombia,2Bhmj4XK33InfhqKPxcJ1v,null,null,null,null,null,null,null,null,null,null,null
149,"Peso Pluma, Estevan Plazola",HOLLYWOOD,Colombia,5GTBdEjZe7zEDp1N0eCZE4,null,null,null,null,null,null,null,null,null,null,null
150,Rayo & Toby,Movimiento de Caderas,Colombia,5u4XWSNpF4wE6W6i78Uf1B,null,null,null,null,null,null,null,null,null,null,null
151,Fuerza Regida,ANSIEDAD,Colombia,1a7onn7lPqqRWul5ogyMyX,null,null,null,null,null,null,null,null,null,null,null
152,Aventura,El Perdedor,Colombia,27ze5t5tIDPlVits0KRbxT,null,null,null,null,null,null,null,null,null,null,null
153,Tego Calderón,Pa' Que Retozen,Colombia,5YJ4BVvTFmVCxUyhKejHfR,null,null,null,null,null,null,null,null,null,null,null
154,"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,Colombia,7BNTVOitDoUC5HVN8HleQy,null,null,null,null,null,null,null,null,null,null,null
155,BTS,Dynamite,Colombia,5QDLhrAOJJdNAmCTJ8xMyW,null,null,null,null,null,null,null,null,null,null,null
159,ROA,FANTASÍA,Colombia,5hWpXZOs7vpz0JD3CIylsb,null,null,null,null,null,null,null,null,null,null,null
160,"Blessd, CARABIN3, SVNTI",MUSA REMIX,Colombia,5ReIuecGjsHabpYSNlKnuR,null,null,null,null,null,null,null,null,null,null,null
162,"Ryan Castro, Blaiz Fayah, Tribal Kush",BOMBASTIK<3,Colombia,2Kx9AfJPaJib9DwAdDYdB9,null,null,null,null,null,null,null,null,null,null,null
163,Luister La Voz,Las Cartas,Colombia,73BrH4q0vUdhT34uK9j98O,null,null,null,null,null,null,null,null,null,null,null
164,"Ryan Castro, Blessd",LEJANIA,Colombia,4py8x8qXCOTi0Rrm4NbCTK,null,null,null,null,null,null,null,null,null,null,null
165,Ele A El Dominio,Hace Mucho Tiempo,Colombia,3eIvjtwoYC16ElxYE6ph7J,null,null,null,null,null,null,null,null,null,null,null
167,"Bad Bunny, Feid",PERRO NEGRO,Colombia,7iQXYTyuG13aoeHxGG28Nh,null,null,null,null,null,null,null,null,null,null,null
168,Grupo Niche,Algo Que Se Quede,Colombia,1JXcB149QtbcIpDUA6YZOB,null,null,null,null,null,null,null,null,null,null,null
170,"Alexis y Fido, Arcángel, De La Ghetto",Camuflaje (Remix),Colombia,1dAQ93kw8Sy9n4JCz2G9Nf,null,null,null,null,null,null,null,null,null,null,null
171,Los Hijos De Puerto Rico,Separados,Colombia,2HbmLkHkkI15eES8kpWRuI,null,null,null,null,null,null,null,null,null,null,null
172,Adolescent's Orquesta,Virgen,Colombia,5HCGrYR7g9u2X9Ju83yQLm,null,null,null,null,null,null,null,null,null,null,null
173,"El Americano 4KT, Tony Monta",WELCOME,Colombia,2lGGv17kLfOrdVzNFzuQWM,null,null,null,null,null,null,null,null,null,null,null
174,Yeison Jimenez,Maldita Traga,Colombia,4ysgNOWbc02RUnCxQMzpeL,null,null,null,null,null,null,null,null,null,null,null
175,"Luis Silva, Yeison Jimenez",Como No Voy a Decirlo,Colombia,0ToktqlTchGYvCRHUCWnG5,null,null,null,null,null,null,null,null,null,null,null
176,"Blessd, Hades66, Blackinny, Young Fatty",MAS QUE AMIGOS,Colombia,0sOrHE0vkEhrmWZnhqjP36,null,null,null,null,null,null,null,null,null,null,null
177,"Oscar Maydon, Fuerza Regida",Tu Boda,Colombia,5mp6OBKCAjN4UYRvhOuUze,null,null,null,null,null,null,null,null,null,null,null
179,"La Factoria, Eddy Lover",Perdóname,Colombia,6yLqoieklk9gwabLaUDJ4s,null,null,null,null,null,null,null,null,null,null,null
180,"Piso 21, Marc Anthony, Beéle",Volver,Colombia,61C7zXd4t2Zuhz6DRwgsLM,null,null,null,null,null,null,null,null,null,null,null
