rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
82,Ciro y los Persas,Me Gusta,Argentina,67Q93kXygxCskeQiIP0V0j,love,0.0492,0.0025,0.0056,0.0103,0.066,0.0067,0.0227,0.0215,0.0123,0.0522,0.0275,0.0023,0.0014,0.0039,0.0012,0.0007,0.002,0.0153,0.9237,0.0024,0.0062,0.0007,0.0168,0.0012,0.005,0.0585,0.0032,0.0276,love,0.0276
83,Bad Bunny,MONACO,Argentina,4MjDJD8cW7iVeWInc2Bdyj,neutral,0.043,0.0817,0.0095,0.0735,0.0702,0.0031,0.0135,0.0369,0.0036,0.0194,0.0239,0.0048,0.0017,0.003,0.0019,0.0002,0.0014,0.0089,0.0083,0.0032,0.007,0.0006,0.0184,0.0014,0.0011,0.0232,0.003,0.4491,amusement,0.4491
84,La T y La M,amor de veraNO,Argentina,6WJ2QzbVnjmPGKpmb6tmmO,love,0.0173,0.0009,0.021,0.0328,0.0442,0.0091,0.0013,0.0008,0.0298,0.0453,0.0167,0.0068,0.0015,0.0053,0.002,0.0009,0.0015,0.0078,0.8483,0.0015,0.0104,0.0017,0.0126,0.0011,0.0018,0.0213,0.0022,0.0928,love,0.0928
85,Airbag,Nunca Lo Olvides,Argentina,4581iSIX0QZNNzAQRysF3k,love,0.0051,0.001,0.0217,0.0296,0.0392,0.048,0.0283,0.0249,0.3809,0.0873,0.0236,0.0082,0.0026,0.0041,0.0082,0.0018,0.0059,0.0056,0.7034,0.012,0.0293,0.001,0.0154,0.002,0.0242,0.1374,0.0023,0.0431,love,0.0431
86,"Yan Block, TORRRES",Yo sé,Argentina,5DdLSEyKh8zgCrJq2hFj92,neutral,0.0018,0.022,0.1265,0.2877,0.0135,0.001,0.0046,0.0053,0.0019,0.0164,0.0075,0.05,0.0063,0.0019,0.0029,0.0001,0.0006,0.0021,0.0015,0.001,0.0017,0.0005,0.009,0.0003,0.0004,0.0043,0.0022,0.5177,annoyance,0.5177
87,"Milo j, Taiu",Rara Vez,Argentina,7MVIfkyzuUmQ716j8U7yGR,love,0.0148,0.0023,0.0056,0.0114,0.0663,0.0136,0.0072,0.0029,0.1797,0.0195,0.0097,0.0049,0.0024,0.0112,0.0021,0.0018,0.0017,0.0464,0.9098,0.0042,0.0275,0.0021,0.0384,0.0026,0.0074,0.0145,0.0041,0.0322,love,0.0322
88,El Plan De La Mariposa,Túnel de la Vida,Argentina,3NlHH9zJ9uGXkm6NJDbLnO,neutral,0.0171,0.0004,0.0022,0.0068,0.1548,0.1676,0.0007,0.001,0.1548,0.0021,0.0035,0.0015,0.0003,0.0038,0.0045,0.003,0.0008,0.0025,0.0076,0.0017,0.0598,0.003,0.0076,0.0027,0.0008,0.0025,0.0004,0.3575,caring,0.3575
89,DesaKTa2,No Se Ve / Chingon,Argentina,1wDZFWLswOdkP3PBOWiSwI,admiration,0.714,0.0016,0.003,0.0045,0.0813,0.0044,0.0121,0.0366,0.0029,0.0044,0.0052,0.0017,0.0005,0.0068,0.0011,0.0009,0.0005,0.0082,0.6355,0.0005,0.0044,0.0009,0.0051,0.0005,0.0005,0.0034,0.0026,0.0234,admiration,0.0234
90,Airbag,Cicatrices,Argentina,23FJGRug9hlYUIBnrmkIBX,desire,0.0022,0.0016,0.0086,0.0492,0.019,0.004,0.0239,0.0504,0.4664,0.1211,0.0202,0.0062,0.0026,0.0075,0.0026,0.0002,0.002,0.0036,0.0514,0.0059,0.0096,0.0005,0.0145,0.001,0.0042,0.0454,0.0047,0.1448,desire,0.1448
91,Pablo Chill-E,Resentia,Argentina,2ANtIUI9cipWNI685VdlZb,love,0.0028,0.2567,0.0369,0.0728,0.0222,0.0138,0.0018,0.0012,0.0089,0.0511,0.0256,0.0158,0.0078,0.0011,0.0022,0.0006,0.002,0.0064,0.3262,0.0021,0.007,0.0006,0.0161,0.001,0.0144,0.0804,0.0009,0.2397,love,0.2397
92,Jin,Don’t Say You Love Me,Argentina,27xkOIER6uDLKALIelHylZ,sadness,0.0009,0.0014,0.1181,0.1537,0.0058,0.013,0.0039,0.0039,0.0146,0.1752,0.0433,0.0291,0.0049,0.0011,0.0104,0.0003,0.0067,0.0016,0.0104,0.0086,0.0027,0.0005,0.0104,0.0009,0.0052,0.5002,0.0018,0.0899,sadness,0.0899
93,Zion & Lennox,La player (Bandolera),Argentina,0VKkyBKCXyR99navhVRqcP,neutral,0.0009,0.0029,0.0041,0.0187,0.012,0.0021,0.0122,0.0424,0.0022,0.0035,0.0033,0.0015,0.0007,0.0027,0.0015,0.0002,0.0003,0.0019,0.0009,0.0009,0.0029,0.0001,0.0066,0.0004,0.0003,0.0019,0.0022,0.9099,curiosity,0.9099
94,Tan Bionica,Obsesionario en La Mayor,Argentina,5EGVGkRRJ2udpRnVGpx8LM,sadness,0.0018,0.0014,0.0088,0.0425,0.0066,0.0062,0.0133,0.0163,0.093,0.4476,0.0139,0.0081,0.0047,0.0037,0.0149,0.0004,0.0104,0.0031,0.0154,0.0336,0.0087,0.0005,0.0177,0.0019,0.0117,0.576,0.0077,0.0719,sadness,0.0719
95,"Romeo Santos, Prince Royce",Dardos,Argentina,5SudOD9R1Of6CsJVWZy6CQ,sadness,0.0014,0.0012,0.1897,0.1762,0.0118,0.038,0.0053,0.0036,0.0334,0.1321,0.0799,0.0461,0.005,0.0021,0.025,0.001,0.0058,0.0025,0.12,0.013,0.0069,0.0008,0.0102,0.0014,0.0067,0.3207,0.0021,0.0437,sadness,0.0437
96,Anuel AA,Tú No Lo Amas,Argentina,0fLOPPoyIaPTe8dm2Mrft3,love,0.0017,0.0952,0.0295,0.0471,0.0092,0.0118,0.0085,0.0093,0.0374,0.0508,0.008,0.0071,0.0025,0.0036,0.0031,0.0002,0.0027,0.0175,0.3031,0.0034,0.0072,0.0004,0.01,0.0008,0.0036,0.0872,0.0023,0.2496,love,0.2496
97,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,Argentina,6iCnJkKswtMYoSmT58HmEn,sadness,0.0042,0.0015,0.0043,0.0155,0.0211,0.0676,0.0162,0.0088,0.0371,0.1508,0.0105,0.0036,0.0044,0.0048,0.0728,0.0011,0.0143,0.0069,0.0407,0.2365,0.0118,0.0012,0.0276,0.0065,0.0445,0.545,0.0035,0.041,sadness,0.041
98,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,Argentina,14rcLGX83RpsORAIzC4U4g,neutral,0.0172,0.1224,0.0033,0.0182,0.1303,0.0094,0.0006,0.0005,0.0014,0.0031,0.0169,0.0011,0.0006,0.0031,0.0004,0.0004,0.0004,0.1311,0.0443,0.0003,0.005,0.0013,0.011,0.003,0.0003,0.0018,0.0003,0.4054,joy,0.4054
100,La T y La M,El Doctorado,Argentina,1yg1tWFaYajN4b7vsKtYRE,neutral,0.0114,0.0012,0.0021,0.0174,0.1826,0.0123,0.0021,0.0008,0.0563,0.0675,0.0184,0.0015,0.0016,0.0054,0.0092,0.001,0.0016,0.0131,0.158,0.0114,0.0543,0.0034,0.0673,0.0125,0.0013,0.0195,0.0017,0.4304,approval,0.4304
101,Miranda!,Tu Misterioso Alguien,Argentina,4ksf1UdqNc9pU8R4ZZrgdY,curiosity,0.0011,0.0016,0.1054,0.1851,0.0065,0.0073,0.121,0.4366,0.0038,0.0521,0.0261,0.0318,0.0097,0.0021,0.0285,0.0001,0.0021,0.0012,0.0037,0.0096,0.0045,0.0002,0.0091,0.0004,0.0016,0.0311,0.0126,0.1878,curiosity,0.1878
103,KAROL G,Si Antes Te Hubiera Conocido,Argentina,73scB4Q4fcOmnsBVZPmk32,optimism,0.0585,0.0618,0.0038,0.0131,0.0199,0.0045,0.0156,0.0182,0.0491,0.0389,0.0651,0.0037,0.001,0.006,0.0059,0.0004,0.0008,0.0133,0.0128,0.0019,0.4504,0.0014,0.011,0.0012,0.0014,0.0052,0.0037,0.1243,optimism,0.1243
104,"Fuerza Regida, Grupo Frontera",COQUETA,Argentina,1PREzVLuDT6PSE9sej4wnV,sadness,0.0013,0.0012,0.0115,0.044,0.0245,0.0084,0.0436,0.0553,0.0529,0.25,0.0112,0.0061,0.0051,0.0041,0.0121,0.0002,0.0116,0.0042,0.0567,0.0293,0.0063,0.0005,0.0335,0.0022,0.0152,0.5736,0.0088,0.1415,sadness,0.1415
105,Bad Bunny,Moscow Mule,Argentina,6Xom58OOXk2SoU711L2IXO,neutral,0.0015,0.0056,0.0569,0.0822,0.0226,0.0071,0.0335,0.0055,0.0084,0.0824,0.0617,0.0056,0.0018,0.004,0.0121,0.0002,0.0009,0.006,0.0059,0.0147,0.0232,0.0005,0.0146,0.0018,0.0008,0.0136,0.002,0.5061,disappointment,0.5061
106,"Luck Ra, BM",La Morocha,Argentina,6vRQqxOhUFd78p5tL8jXr7,love,0.0126,0.0006,0.0061,0.0154,0.0684,0.0054,0.0021,0.0015,0.0386,0.0235,0.0347,0.0036,0.0007,0.0023,0.0006,0.0004,0.0006,0.0028,0.6276,0.0004,0.0065,0.0007,0.0074,0.0005,0.0015,0.0077,0.0006,0.2609,love,0.2609
108,Omar Courtz,⁠LUCES DE COLORES,Argentina,5dDlknAL9imbXXl7uG7oqe,neutral,0.0018,0.0051,0.0068,0.0384,0.0251,0.0013,0.0074,0.0195,0.0024,0.0035,0.0027,0.0044,0.001,0.0048,0.0012,0.0001,0.0003,0.0024,0.002,0.0005,0.0027,0.0002,0.0067,0.0004,0.0002,0.0012,0.0026,0.8758,annoyance,0.8758
109,The Police,Every Breath You Take,Argentina,1JSTJqkT5qHq8MDJnJbRE1,sadness,0.0021,0.0021,0.0062,0.0198,0.0073,0.0103,0.0039,0.0132,0.1134,0.1074,0.0051,0.0101,0.0028,0.0028,0.0061,0.0008,0.0205,0.0033,0.0154,0.0097,0.0039,0.0005,0.0116,0.0015,0.0096,0.7477,0.004,0.1975,sadness,0.1975
110,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Argentina,0JoHqmlqE0W0i9prt6kcHR,neutral,0.0046,0.0045,0.0359,0.1485,0.0533,0.0043,0.2202,0.0058,0.0048,0.0364,0.0171,0.007,0.003,0.0047,0.0033,0.0005,0.0013,0.0155,0.1978,0.0087,0.0046,0.0012,0.0275,0.0021,0.0042,0.0145,0.0026,0.3015,confusion,0.3015
111,Airbag,Cae el Sol,Argentina,1Mqfdem6pgGVoULjSkkcc9,confusion,0.0013,0.0013,0.0045,0.0332,0.0282,0.0027,0.3434,0.0279,0.1225,0.1092,0.0189,0.0036,0.0062,0.0053,0.0095,0.0005,0.002,0.0062,0.006,0.0183,0.0269,0.001,0.1192,0.0029,0.0061,0.0203,0.0138,0.13,confusion,0.13
113,Babasonicos,Puesto,Argentina,5zpZUFF7YyPG90nkR88RYd,admiration,0.9076,0.007,0.0018,0.0033,0.0431,0.0011,0.0023,0.0079,0.0021,0.0022,0.0022,0.0011,0.0007,0.1408,0.0013,0.0016,0.0005,0.0251,0.0135,0.0006,0.0062,0.0078,0.0078,0.0014,0.0002,0.0009,0.0394,0.0198,admiration,0.0198
118,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Argentina,3k3NWokhRRkEPhCzPmV8TW,love,0.0669,0.0063,0.0026,0.0334,0.1105,0.0029,0.0012,0.0006,0.0035,0.0298,0.0114,0.0022,0.0026,0.0089,0.0012,0.0006,0.0012,0.0561,0.4046,0.0015,0.0055,0.0037,0.1248,0.0057,0.0009,0.0086,0.0028,0.313,love,0.313
119,"Callejero Fino, Martin Vegas",TIKI TIKI,Argentina,7GSKEUunbDOtPSG1TLXq8e,neutral,0.0009,0.0048,0.0225,0.0711,0.0108,0.0049,0.0008,0.0006,0.0026,0.0126,0.0138,0.0078,0.0019,0.0011,0.0019,0.0003,0.0008,0.0028,0.0024,0.0008,0.0024,0.0005,0.0071,0.0006,0.0007,0.0103,0.0006,0.8976,annoyance,0.8976
120,No Te Va Gustar,Ese Maldito Momento,Argentina,6MuJUSYCqA4FpMogUHzb2R,disappointment,0.0009,0.0016,0.062,0.3309,0.0087,0.0045,0.0965,0.0366,0.0032,0.477,0.1377,0.0083,0.0147,0.0012,0.0054,0.0006,0.003,0.0017,0.0013,0.0128,0.0062,0.0003,0.0198,0.0011,0.0083,0.1309,0.0031,0.0778,disappointment,0.0778
121,Angela Torres,FAVORITA,Argentina,6EhX9FjpQZ5CohoGeqUM2u,love,0.0195,0.0014,0.0029,0.0088,0.1364,0.0168,0.0007,0.0009,0.0534,0.011,0.0036,0.0019,0.0007,0.0132,0.0011,0.0005,0.0013,0.0307,0.6564,0.0012,0.012,0.002,0.0131,0.0025,0.0013,0.0124,0.0015,0.2179,love,0.2179
122,Kapo,UWAIE,Argentina,0fMjldiEpgjbWQ4bBQwVzH,love,0.6634,0.0007,0.0034,0.0051,0.1141,0.0109,0.0034,0.0077,0.0561,0.0056,0.0061,0.002,0.0005,0.0085,0.0008,0.0016,0.0006,0.013,0.7193,0.0005,0.013,0.0021,0.0057,0.0009,0.0009,0.0038,0.0014,0.0217,love,0.0217
123,"Estelares, Jorge Serrano",Ella Dijo,Argentina,6cFf4Jfy7ThUwGzbqFcZsx,love,0.0032,0.0015,0.0121,0.0187,0.0568,0.0856,0.0022,0.0012,0.0259,0.0153,0.0225,0.0035,0.001,0.0034,0.0034,0.0025,0.002,0.0137,0.7851,0.0028,0.0386,0.0011,0.0088,0.0027,0.0056,0.0233,0.0007,0.142,love,0.142
125,Babasonicos,El Loco,Argentina,2jEjxOyKqMpkcThWl697hf,neutral,0.1779,0.0006,0.0043,0.0211,0.0174,0.0013,0.0037,0.0066,0.0307,0.0701,0.01,0.0071,0.0017,0.0031,0.0024,0.0007,0.002,0.0014,0.002,0.001,0.0046,0.0016,0.0078,0.0007,0.0008,0.0263,0.0024,0.5084,admiration,0.5084
126,Andrés Calamaro,Flaca,Argentina,1p7m9H4H8s0Y7SgRm7j3ED,neutral,0.0035,0.0005,0.1301,0.1763,0.106,0.1796,0.0019,0.001,0.0045,0.0313,0.1638,0.0082,0.0033,0.0006,0.0024,0.001,0.0028,0.0017,0.0145,0.002,0.0072,0.0018,0.0237,0.0028,0.0075,0.0386,0.0004,0.3113,caring,0.3113
127,Las Pelotas,Personalmente,Argentina,7q7XFO9av9VpNJSXKJwJxD,neutral,0.0032,0.0013,0.0017,0.0058,0.0541,0.0419,0.0307,0.1847,0.0255,0.0045,0.0027,0.0005,0.0003,0.0392,0.0072,0.0002,0.001,0.0143,0.0035,0.0086,0.1337,0.0006,0.0155,0.0026,0.0005,0.0059,0.0114,0.3921,curiosity,0.3921
128,"Rauw Alejandro, Romeo Santos",Khé?,Argentina,1YYfyJ2yCvGFCxwjsIqEK9,curiosity,0.0018,0.0142,0.0176,0.0515,0.0309,0.0143,0.3619,0.4152,0.024,0.0561,0.0268,0.006,0.0053,0.003,0.0076,0.0002,0.0024,0.0072,0.3371,0.0115,0.0166,0.0003,0.019,0.001,0.0168,0.0555,0.0039,0.0903,curiosity,0.0903
129,Las Pelotas,Será,Argentina,60IzIxSuVAtU71yCmHjxHH,curiosity,0.0015,0.0009,0.0016,0.0048,0.0205,0.0204,0.276,0.441,0.0141,0.0042,0.0036,0.001,0.0006,0.0042,0.0049,0.0006,0.0007,0.002,0.0218,0.0032,0.0253,0.0001,0.008,0.0005,0.0022,0.0044,0.0046,0.292,curiosity,0.292
130,Mon Laferte,Tu Falta De Querer,Argentina,4skuEIloXWuxxgekKupkEH,love,0.0034,0.002,0.0316,0.0369,0.0128,0.0319,0.0298,0.1268,0.1913,0.165,0.0172,0.0132,0.0044,0.0068,0.0152,0.001,0.0117,0.0067,0.7104,0.0221,0.0144,0.0006,0.0124,0.002,0.0221,0.4262,0.0108,0.0408,love,0.0408
131,Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo,Argentina,1buwr89mlvxbaqArqmvCYS,admiration,0.6803,0.0004,0.0056,0.0128,0.128,0.0076,0.0016,0.0008,0.0029,0.0136,0.0099,0.0013,0.0005,0.0033,0.0006,0.0019,0.0008,0.0073,0.2987,0.0003,0.0067,0.0052,0.0132,0.0014,0.0007,0.0043,0.0014,0.0875,admiration,0.0875
133,Romeo Santos,Imitadora,Argentina,6r46lnXFbE9fr2d3KNaGbe,curiosity,0.005,0.0011,0.0171,0.0294,0.015,0.0176,0.2193,0.6308,0.0253,0.1251,0.0427,0.0055,0.0045,0.0055,0.0121,0.0006,0.0044,0.0037,0.3133,0.0119,0.0103,0.0002,0.0101,0.001,0.015,0.1159,0.0132,0.0753,curiosity,0.0753
134,Milo j,M.A.I,Argentina,35ttE4t8lQZA2vuCYDg4G7,gratitude,0.0565,0.0008,0.0023,0.0064,0.0492,0.1274,0.0054,0.0017,0.0113,0.0157,0.0082,0.0029,0.002,0.01,0.1496,0.3995,0.0088,0.0266,0.0284,0.0567,0.0261,0.0087,0.0165,0.0329,0.0096,0.0627,0.0022,0.0153,gratitude,0.0153
135,Omar Courtz,VAMOaCOCHI,Argentina,1oghNMGW42IhtQPNU6leZz,desire,0.0039,0.0015,0.0086,0.022,0.0315,0.0126,0.0066,0.0923,0.3506,0.0072,0.003,0.0054,0.0007,0.0106,0.0025,0.0002,0.0007,0.003,0.0478,0.0014,0.0105,0.0003,0.0034,0.0005,0.001,0.0059,0.0016,0.3047,desire,0.3047
137,"Feid, ATL Jacob",LUNA,Argentina,7bywjHOc0wSjGGbj04XbVi,sadness,0.0056,0.0014,0.0165,0.0377,0.0124,0.016,0.0281,0.0467,0.1984,0.3369,0.0151,0.0076,0.0045,0.0049,0.0098,0.0006,0.0149,0.0051,0.1763,0.0256,0.0118,0.0008,0.022,0.0024,0.0274,0.5883,0.0095,0.049,sadness,0.049
138,Anuel AA,¿Qué Nos Pasó?,Argentina,7k3qWn8D43a5ISa3x8lJux,neutral,0.001,0.0079,0.1629,0.333,0.0218,0.0034,0.018,0.0526,0.0026,0.025,0.023,0.0128,0.0042,0.0035,0.0057,0.0001,0.0008,0.0034,0.001,0.0021,0.0047,0.0008,0.0108,0.0006,0.0004,0.005,0.0142,0.4156,annoyance,0.4156
139,"Jory Boy, Bad Bunny",No Te Hagas,Argentina,5hKjEpYrJIJs6uPl7zw6Y6,neutral,0.0023,0.0036,0.0812,0.0862,0.016,0.0417,0.0014,0.0019,0.0114,0.0195,0.0275,0.0076,0.0012,0.0046,0.0034,0.0005,0.0015,0.0044,0.0318,0.0016,0.0041,0.0006,0.006,0.0008,0.0015,0.0357,0.0011,0.6194,annoyance,0.6194
140,"Rauw Alejandro, Chencho Corleone",El Efecto,Argentina,4SJHHpKhcuXwDsCsPqshXj,neutral,0.003,0.0044,0.0027,0.0096,0.0225,0.0104,0.0232,0.1127,0.0241,0.0176,0.0027,0.0021,0.0044,0.0155,0.003,0.0006,0.0023,0.0126,0.0069,0.0058,0.0068,0.0007,0.0095,0.0017,0.057,0.0463,0.0035,0.5568,curiosity,0.5568
141,"KHEA, Duki, Cazzu, Omar Varela, MYKKA",Loca,Argentina,0vnrhysrKKRdNYFKLAGzRc,neutral,0.0043,0.0077,0.0379,0.044,0.026,0.0025,0.0126,0.0119,0.0042,0.0063,0.0041,0.0044,0.0014,0.0253,0.0048,0.0002,0.0006,0.0132,0.028,0.0015,0.0045,0.0009,0.0091,0.0007,0.0003,0.0034,0.0072,0.6392,annoyance,0.6392
143,"Maria Becerra, Paulo Londra, XROSS",RAMEN PARA DOS,Argentina,5KJacLbQNuqzR9IizaPI6h,sadness,0.0016,0.0013,0.0988,0.177,0.0111,0.0111,0.0579,0.0291,0.02,0.2916,0.0809,0.0078,0.0052,0.0018,0.0121,0.0005,0.0109,0.0025,0.0133,0.0202,0.0087,0.0004,0.0185,0.0014,0.0135,0.4546,0.0055,0.0791,sadness,0.0791
144,Plan B,Fanatica Sensual,Argentina,1DrDfpOx4P4LMxFhtOmeyD,neutral,0.0018,0.0071,0.0013,0.0099,0.0251,0.003,0.0111,0.07,0.008,0.0062,0.002,0.0011,0.0005,0.004,0.0017,0.0001,0.0004,0.0027,0.0027,0.0012,0.0166,0.0002,0.0108,0.0005,0.0005,0.0045,0.0022,0.7702,curiosity,0.7702
149,"Emilia, TINI, Nicki Nicole",blackout 🧊,Argentina,1KaXG7dVdwMH3gCtiAU39t,neutral,0.281,0.0044,0.0019,0.0074,0.0572,0.0017,0.0069,0.0044,0.0253,0.0032,0.0017,0.0025,0.0011,0.022,0.0017,0.0007,0.0005,0.0094,0.0215,0.0009,0.0057,0.0018,0.0417,0.001,0.0005,0.0019,0.0062,0.5255,admiration,0.5255
150,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Argentina,0Sr7ssScx54yxdM2ols7nW,neutral,0.0025,0.011,0.0149,0.0317,0.015,0.0019,0.0032,0.0109,0.0267,0.0039,0.0025,0.0042,0.001,0.0412,0.0017,0.0002,0.0004,0.0097,0.0296,0.0007,0.0031,0.0005,0.0034,0.0005,0.0003,0.0018,0.0034,0.6772,excitement,0.6772
152,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Argentina,6VNXmo59yDYgcwLS17UNAW,neutral,0.0043,0.0013,0.0041,0.0226,0.0319,0.4126,0.0169,0.0027,0.0042,0.0088,0.0197,0.0013,0.001,0.0019,0.0148,0.0021,0.0015,0.0045,0.0037,0.0093,0.0181,0.0009,0.0175,0.0043,0.0021,0.0075,0.0009,0.4593,caring,0.4593
153,"Omar Courtz, De La Rose, Haze",Kyoto,Argentina,7eNwwoxDR8KVzNAuGvliAO,neutral,0.0049,0.0054,0.0122,0.0845,0.031,0.0016,0.0039,0.0037,0.0051,0.0227,0.0042,0.0095,0.0032,0.0133,0.013,0.0001,0.0012,0.0127,0.01,0.0049,0.0033,0.0012,0.0296,0.0016,0.0005,0.0112,0.0039,0.6002,annoyance,0.6002
154,Sabrina Carpenter,Manchild,Argentina,2BwO5K8Q7EPAJSGze3AAh9,love,0.0052,0.0027,0.1076,0.1433,0.0338,0.0097,0.2841,0.251,0.0147,0.1331,0.1413,0.0107,0.0059,0.004,0.0062,0.0005,0.0021,0.0065,0.3581,0.006,0.0272,0.0005,0.0194,0.001,0.0113,0.0273,0.0089,0.0405,love,0.0405
156,"Tainy, Bad Bunny",MOJABI GHOST,Argentina,46YjJXVXWHlQ21odKktg5e,desire,0.0027,0.0025,0.0044,0.0109,0.0202,0.01,0.0288,0.0115,0.4417,0.0481,0.0135,0.0022,0.0009,0.0039,0.0039,0.0007,0.0015,0.008,0.2076,0.0034,0.3478,0.0007,0.0118,0.001,0.0074,0.0189,0.0019,0.12,desire,0.12
157,Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,Argentina,6BHlafXY1L2eetDCwict05,love,0.1692,0.001,0.0028,0.0057,0.0696,0.0069,0.0006,0.0005,0.0195,0.0067,0.0028,0.0016,0.0006,0.0213,0.0015,0.0008,0.0008,0.0213,0.6322,0.0007,0.017,0.0051,0.0097,0.0015,0.0006,0.0035,0.0023,0.153,love,0.153
158,"Callejero Fino, Lea in the Mix",NO LES DA,Argentina,6pryujEohwqSNKGTW33SKE,sadness,0.0032,0.002,0.0044,0.0288,0.0318,0.0079,0.0012,0.0006,0.0033,0.1837,0.0229,0.0052,0.0144,0.0011,0.0026,0.001,0.0063,0.0055,0.0058,0.0041,0.0037,0.0013,0.0279,0.0047,0.1694,0.3805,0.0006,0.2054,sadness,0.2054
159,Boza,Hecha Pa' Mi,Argentina,3VvA1wSxukMLsvXoXtlwWx,love,0.0138,0.0051,0.0277,0.0444,0.034,0.0046,0.0089,0.0021,0.0065,0.0978,0.0246,0.0174,0.01,0.003,0.005,0.0011,0.0029,0.0096,0.8789,0.0046,0.0045,0.0012,0.0702,0.0016,0.0069,0.0783,0.0079,0.0247,love,0.0247
160,"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,Argentina,3tiJUOfAEqIrLFRQgGgdoY,love,0.0053,0.0016,0.0108,0.0214,0.0185,0.0162,0.0031,0.0054,0.4547,0.1444,0.0146,0.011,0.0026,0.0047,0.0034,0.0014,0.006,0.0065,0.5773,0.0049,0.0201,0.001,0.012,0.0016,0.0127,0.2259,0.0031,0.0589,love,0.0589
161,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Argentina,2Mgur7BKnpr7OG3izSNFTA,amusement,0.0087,0.5308,0.0136,0.0289,0.0221,0.0062,0.0052,0.0496,0.0039,0.0026,0.004,0.0039,0.0012,0.0056,0.0008,0.0005,0.0004,0.0451,0.1611,0.0005,0.0068,0.0004,0.0047,0.0007,0.0007,0.002,0.0011,0.2758,amusement,0.2758
162,"DENNIS, Luísa Sonza, Emilia",MOTINHA 2.0 (Mete Marcha) - Remix,Argentina,2iDDnYmaz1HhedjI91fbmp,neutral,0.0076,0.007,0.0033,0.0138,0.0688,0.0024,0.0094,0.0355,0.002,0.0022,0.0039,0.0007,0.0005,0.0207,0.0011,0.0001,0.0002,0.0114,0.0011,0.0007,0.0052,0.0007,0.0066,0.0009,0.0002,0.0007,0.0021,0.831,approval,0.831
163,"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),Argentina,0u6JsFiEEXb6kaF0oqyeFi,love,0.0032,0.001,0.0336,0.0367,0.0346,0.1165,0.0293,0.0896,0.0959,0.1453,0.0317,0.0063,0.0028,0.0021,0.0086,0.0012,0.01,0.0031,0.4922,0.0127,0.0388,0.0005,0.0136,0.002,0.0512,0.3824,0.0024,0.0595,love,0.0595
164,Bad Bunny,Enséñame a Bailar,Argentina,2NMjggapJcXXM7WccGEBUO,amusement,0.1214,0.7209,0.0024,0.0116,0.0673,0.0021,0.0046,0.0113,0.0101,0.003,0.0058,0.0022,0.0009,0.0249,0.0006,0.0003,0.0004,0.2116,0.0507,0.0007,0.0093,0.0014,0.0082,0.002,0.0004,0.0013,0.0015,0.0553,amusement,0.0553
165,"Lady Gaga, Bruno Mars",Die With A Smile,Argentina,7so0lgd0zP2Sbgs2d7a1SZ,love,0.0041,0.0059,0.0193,0.0341,0.021,0.0059,0.0205,0.004,0.1248,0.1998,0.0154,0.0139,0.0153,0.0068,0.0175,0.0012,0.0103,0.0154,0.6223,0.0227,0.0246,0.0021,0.2448,0.0041,0.0294,0.2458,0.0393,0.0281,love,0.0281
166,"Intoxicados, Andrés Calamaro",Fuego,Argentina,6q41qt2R9K8BXEzmzImEGO,neutral,0.0006,0.0008,0.0107,0.0498,0.0351,0.0044,0.0012,0.0004,0.0031,0.0241,0.0124,0.0149,0.0042,0.0006,0.0201,0.0003,0.0017,0.001,0.0008,0.0033,0.0044,0.0007,0.046,0.0013,0.0018,0.0466,0.0007,0.7434,annoyance,0.7434
167,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Argentina,1TyBUtMxdmRfXhW3MmbxtQ,gratitude,0.0067,0.0012,0.004,0.0182,0.0144,0.013,0.001,0.0013,0.1055,0.0543,0.0058,0.0054,0.0024,0.0053,0.0018,0.6171,0.0086,0.0136,0.0109,0.0022,0.0052,0.0023,0.0102,0.0085,0.0179,0.2386,0.0013,0.0453,gratitude,0.0453
