rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,0Qe2g06yzLBuuSvVmFiweP,sadness,0.0051,0.0007,0.0172,0.0536,0.0351,0.0345,0.0602,0.0126,0.0176,0.4576,0.0619,0.0055,0.0042,0.0015,0.0199,0.0006,0.0103,0.0027,0.0599,0.0351,0.0357,0.0009,0.0332,0.0028,0.0306,0.4832,0.0026,0.0468,sadness,0.0468
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,7koAf6aZgjO6TS7bipfPD0,neutral,0.0062,0.003,0.0031,0.0066,0.0462,0.0049,0.0047,0.0077,0.0373,0.0128,0.0124,0.0021,0.0007,0.0113,0.0016,0.0008,0.0007,0.008,0.4288,0.0012,0.006,0.0006,0.0073,0.0008,0.0015,0.0104,0.0018,0.4995,love,0.4995
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,0lMafSfME2iJEE972bsQaK,neutral,0.0099,0.359,0.0046,0.0151,0.0254,0.0018,0.0009,0.0019,0.0025,0.0018,0.0018,0.0021,0.0008,0.0123,0.0005,0.0004,0.0002,0.0404,0.0586,0.0003,0.0039,0.0006,0.0042,0.0006,0.0003,0.0009,0.0011,0.4803,amusement,0.4803
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,614NVFo5csQqRnryl4jXs2,desire,0.0051,0.0256,0.0029,0.0076,0.0328,0.012,0.0012,0.0081,0.3934,0.0036,0.0018,0.0018,0.0005,0.0472,0.0009,0.0007,0.0006,0.0355,0.1467,0.001,0.0172,0.0008,0.0036,0.0011,0.0013,0.0036,0.0011,0.2041,desire,0.2041
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh,love,0.0177,0.0028,0.0047,0.0046,0.0332,0.034,0.0041,0.0113,0.2255,0.0065,0.0054,0.0021,0.0008,0.0576,0.0049,0.0053,0.0016,0.0743,0.9383,0.0037,0.1082,0.0014,0.0071,0.0019,0.0033,0.0098,0.0053,0.0154,love,0.0154
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,7d6yK8v8J484SWH5prIQiE,neutral,0.0971,0.003,0.0019,0.0056,0.0882,0.0049,0.0076,0.0174,0.0105,0.002,0.0016,0.0016,0.0006,0.0432,0.0016,0.0007,0.0004,0.0214,0.014,0.0007,0.0118,0.0012,0.0063,0.0012,0.0004,0.0017,0.0023,0.6265,admiration,0.6265
42,Yeison Jimenez,Un Perro Enamorado,Colombia,3kcr3teEgyTOVIAxMPOPeO,love,0.0115,0.0046,0.0202,0.0267,0.0189,0.0141,0.1732,0.1054,0.0143,0.1733,0.0244,0.0087,0.0153,0.0365,0.1212,0.0021,0.0116,0.0267,0.8274,0.1422,0.0139,0.0018,0.0681,0.0054,0.0204,0.2317,0.1772,0.0134,love,0.0134
43,Arcángel,Pa' Que La Pases Bien,Colombia,1pLCpA1RN8avJxSD3ZCwhj,amusement,0.0739,0.4178,0.0011,0.006,0.1203,0.0273,0.0013,0.0019,0.0027,0.0016,0.0031,0.0008,0.0007,0.0197,0.0006,0.0032,0.0005,0.294,0.0044,0.0007,0.0158,0.0038,0.0079,0.0109,0.0004,0.0013,0.0009,0.1773,amusement,0.1773
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,6N2iccqxRInhTLHc2Fu3W0,love,0.0053,0.4219,0.0068,0.0171,0.0194,0.0149,0.0018,0.0048,0.1494,0.0233,0.0071,0.0053,0.0024,0.0057,0.0012,0.0007,0.0023,0.0675,0.5206,0.0022,0.0265,0.0008,0.0105,0.0018,0.0094,0.0717,0.0013,0.0272,love,0.0272
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,6C1RD7YQVvt3YQj0CmuTeu,neutral,0.0236,0.3544,0.0031,0.0121,0.0427,0.0024,0.0013,0.0039,0.006,0.0021,0.0018,0.0018,0.0008,0.0746,0.0006,0.0003,0.0003,0.0789,0.0519,0.0005,0.0058,0.0012,0.0058,0.0011,0.0004,0.001,0.0032,0.4063,amusement,0.4063
