rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
104,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Colombia,10B0cONtHL7b8hdMRE2Du6,null,null,null,null,null,null,null,null,null,null,null
105,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Colombia,5q2JbCNi4FcnglgPfxcV65,longing,0.6892,0.9675,0.3512,0.9545,0.8627,0.7038,0.3658,0.9346,0.9342,0.8491
106,Fuerza Regida,Marlboro Rojo,Colombia,3hpm0fTeSqlhJbnqAgaLZs,null,null,null,null,null,null,null,null,null,null,null
107,Frankie Ruiz,Tú Con Él,Colombia,6cHHrFD3fmBG9MR3k8kvep,null,null,null,null,null,null,null,null,null,null,null
108,"KAROL G, Marco Antonio Solís",Coleccionando Heridas,Colombia,3ddJ8Vbc5tYPxq5zKRVke6,null,null,null,null,null,null,null,null,null,null,null
109,Bad Bunny,MONACO,Colombia,4MjDJD8cW7iVeWInc2Bdyj,sensual,0.7394,0.8604,0.5676,0.3518,0.6171,0.2669,0.3309,0.6033,0.9874,0.8342
110,Yeison Jimenez,Ni Tengo Ni Necesito,Colombia,6829KtrgNt2ZwrsE19nTEd,null,null,null,null,null,null,null,null,null,null,null
111,"Kris R., Blessd",Las Piponas (Remix),Colombia,281YJmnThveWjsWVic9Ym6,null,null,null,null,null,null,null,null,null,null,null
112,Luister La Voz,Amarte más no pude - En vivo,Colombia,1OHj2WRXOR9XdCV6PuptXv,null,null,null,null,null,null,null,null,null,null,null
113,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,Colombia,2ALQyXMC26Vew7JX7ert9M,null,null,null,null,null,null,null,null,null,null,null
114,"Rauw Alejandro, Romeo Santos",Khé?,Colombia,1YYfyJ2yCvGFCxwjsIqEK9,longing,0.8341,0.9667,0.0,0.9518,0.768,0.6802,0.0,0.8603,0.9065,0.7645
115,Yeison Jimenez,Qué Día Es Hoy,Colombia,5PB1ITleNasy7UMYEaBWkL,null,null,null,null,null,null,null,null,null,null,null
116,Zion & Lennox,La player (Bandolera),Colombia,0VKkyBKCXyR99navhVRqcP,lonely,0.3185,0.8276,0.2119,0.5219,0.4109,0.4816,0.2445,0.9677,0.9003,0.6889
117,"Kris R., Blessd",COSITAS,Colombia,3ClyThLf2bguwdMcm7hqZ2,null,null,null,null,null,null,null,null,null,null,null
118,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,Colombia,2tKVinInf0PJS1iG04zzqi,null,null,null,null,null,null,null,null,null,null,null
119,Beéle,si te pillara,Colombia,1C7NXX8UJ6pgNx8EkmyZDd,longing,0.4474,0.8733,0.3571,0.5186,0.644,0.4064,0.5645,0.4479,0.791,0.5938
120,"Don Omar, Kendo Kapponi",RX,Colombia,3NgDulHteTVdF026IxY5bW,null,null,null,null,null,null,null,null,null,null,null
121,Willie Colón,Oh Qué Será?,Colombia,2n1MTLCis6qPSDKdr5XSDI,null,null,null,null,null,null,null,null,null,null,null
122,Blessd,Palabras Sobran,Colombia,4wu7jIeJCUhQJaXsXVit0e,null,null,null,null,null,null,null,null,null,null,null
123,KAROL G,Si Antes Te Hubiera Conocido,Colombia,73scB4Q4fcOmnsBVZPmk32,longing,0.7654,0.9796,0.3249,0.6016,0.5642,0.387,0.9656,0.4634,0.9788,0.8784
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,7yHZ66udwjeUafGohI7T46,null,null,null,null,null,null,null,null,null,null,null
125,Yeison Jimenez,Aventurero,Colombia,0ftcn4ddKESqQMA784Ebc0,null,null,null,null,null,null,null,null,null,null,null
126,Willie Colón,Gitana,Colombia,4VTb5wB46sZDsfL8XgroGt,null,null,null,null,null,null,null,null,null,null,null
127,Tito Rojas,Siempre Sere,Colombia,4ZGk5h0sIfeunWEKzXEoHr,null,null,null,null,null,null,null,null,null,null,null
128,Yandel,Encantadora,Colombia,7LABrQFfRYcZUqUwng0Heb,sensual,0.4656,0.4837,0.1369,0.1969,0.2099,0.368,0.1516,0.4454,0.4927,0.2662
129,Yiyo Sarante,Corazon de Acero,Colombia,21nc3O8OncUv1jjSrC1ML2,null,null,null,null,null,null,null,null,null,null,null
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,0TBFzXKWtoF7Lwh0LKFt8f,null,null,null,null,null,null,null,null,null,null,null
131,Yiyo Sarante,Manos de Tijera,Colombia,5ds1Hh3lo4JUF2vflqyayK,null,null,null,null,null,null,null,null,null,null,null
132,Frankie Ruiz,Deseándote,Colombia,0FsXZAMf6NACvNJ2LI6ySp,null,null,null,null,null,null,null,null,null,null,null
133,"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),Colombia,5sMHuOIvtsSuFZafTcF19Q,null,null,null,null,null,null,null,null,null,null,null
134,"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),Colombia,3QwBODjSEzelZyVjxPOHdq,sensual,0.7819,0.9493,0.6538,0.1618,0.1513,0.1081,0.3598,0.1636,0.9834,0.2003
135,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Colombia,34vXRJ2bCSFiZKQzVUYVOb,null,null,null,null,null,null,null,null,null,null,null
136,Yeison Jimenez,Te Voy a Olvidar,Colombia,6jbDhMUR3Hc3yVPT2tEVxY,null,null,null,null,null,null,null,null,null,null,null
137,"W Sound, Myke Towers, Ovy On The Drums",5 Estrellas - W Sound 23,Colombia,7hYlC6s0SXSIwtFlW6NgjT,null,null,null,null,null,null,null,null,null,null,null
138,"Romeo Santos, Prince Royce",Dardos,Colombia,5SudOD9R1Of6CsJVWZy6CQ,longing,0.933,0.959,0.0,0.9524,0.9145,0.8918,0.0,0.7073,0.7729,0.8667
139,Grupo Niche,Sin Sentimientos,Colombia,7xDwU3I38ReireLvv79h63,null,null,null,null,null,null,null,null,null,null,null
140,"Yeison Jimenez, Pasabordo",Hasta La Madre,Colombia,1nDvFYTsaQwxt5CTk7LJ5E,null,null,null,null,null,null,null,null,null,null,null
141,Clarent,BIENVENIDA,Colombia,7zwgHkTKv86nMOREN5k1hx,anger,0.1871,0.3977,0.0,0.2675,0.4049,0.1988,0.1034,0.2133,0.4444,0.7878
142,Yeison Jimenez,Tu Mal Sabor,Colombia,1LNLFgc99bgCWPAaJ9zUQi,null,null,null,null,null,null,null,null,null,null,null
143,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,Colombia,2beS6dD5rovBxSA1zYoSHR,sensual,0.4511,0.6982,0.3138,0.2017,0.42,0.2712,0.3259,0.4409,0.9073,0.6168
144,Beéle,frente al mar,Colombia,1i1n7hUzCDkXGFqIJSSzom,null,null,null,null,null,null,null,null,null,null,null
145,"Maluma, Yeison Jimenez",Con el Corazón,Colombia,1xTWu5aArww0QtXqX2ScBI,null,null,null,null,null,null,null,null,null,null,null
146,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,Colombia,7hynhxDoDpgMIV12JuVtNa,null,null,null,null,null,null,null,null,null,null,null
147,"El Americano 4KT, THE FAVORITES",MAMAXITA,Colombia,3UJN0IUZIeXnrmo48e6XXx,null,null,null,null,null,null,null,null,null,null,null
148,Aventura,Dile al Amor,Colombia,2Bhmj4XK33InfhqKPxcJ1v,null,null,null,null,null,null,null,null,null,null,null
149,"Peso Pluma, Estevan Plazola",HOLLYWOOD,Colombia,5GTBdEjZe7zEDp1N0eCZE4,null,null,null,null,null,null,null,null,null,null,null
150,Rayo & Toby,Movimiento de Caderas,Colombia,5u4XWSNpF4wE6W6i78Uf1B,null,null,null,null,null,null,null,null,null,null,null
151,Fuerza Regida,ANSIEDAD,Colombia,1a7onn7lPqqRWul5ogyMyX,null,null,null,null,null,null,null,null,null,null,null
152,Aventura,El Perdedor,Colombia,27ze5t5tIDPlVits0KRbxT,null,null,null,null,null,null,null,null,null,null,null
153,Tego Calderón,Pa' Que Retozen,Colombia,5YJ4BVvTFmVCxUyhKejHfR,null,null,null,null,null,null,null,null,null,null,null
154,"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,Colombia,7BNTVOitDoUC5HVN8HleQy,null,null,null,null,null,null,null,null,null,null,null
155,BTS,Dynamite,Colombia,5QDLhrAOJJdNAmCTJ8xMyW,null,null,null,null,null,null,null,null,null,null,null
156,"J Balvin, Bad Bunny",QUE PRETENDES,Colombia,25ZAibhr3bdlMCLmubZDVt,longing,0.1208,0.9277,0.0,0.4786,0.3594,0.4356,0.0,0.4662,0.9127,0.5015
157,Mon Laferte,Tu Falta De Querer,Colombia,4skuEIloXWuxxgekKupkEH,longing,0.9385,0.9912,0.0,0.981,0.963,0.9405,0.0,0.9636,0.7485,0.9258
158,Bad Bunny,Tití Me Preguntó,Colombia,1IHWl5LamUGEuP4ozKQSXZ,heartbreak,0.8081,0.8692,0.0,0.9262,0.7401,0.8109,0.0,0.9194,0.7565,0.7201
159,ROA,FANTASÍA,Colombia,5hWpXZOs7vpz0JD3CIylsb,null,null,null,null,null,null,null,null,null,null,null
