title,artist,region,language,topic,topic_probability,dominant_emotion,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
Yo sé,"Yan Block, TORRRES",Colombia,es,-1,,neutral,0.0,0.2915302515029907,0.20965151488780975,0.0,0.0,0.0,0.0
The Flow's Son Black!,"El Americano 4KT, Kobby",Colombia,es,6,,sadness,0.0,0.24007572730382284,0.0,0.0,0.0,0.6251803437868754,0.0
Dile a Tu Amiga,Dalmata,Colombia,es,1,,neutral,0.0,0.30296552181243896,0.0,0.0,0.0,0.0,0.0
WO OH OH,"Omar Courtz, ROA",Colombia,es,1,,joy,0.0,0.08312561611334483,0.21907328565915427,0.0,0.0,0.0,0.0
Ya No Mi Amor,Yeison Jimenez,Colombia,es,1,,fear,0.0,0.1794116348028183,0.0,0.19346338510513306,0.0,0.0,0.0
SI ESTÁS CON ALGUIEN,Omar Courtz,Colombia,es,1,,neutral,0.0,0.46497973799705505,0.0,0.0,0.0,0.0,0.0
Mi Venganza,"Alzate, Yeison Jimenez",Colombia,es,1,,neutral,0.0,0.4137257933616638,0.0,0.0,0.0,0.0,0.0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Colombia,es,19,,neutral,0.035948910883494785,0.48473451818738666,0.0,0.0,0.0,0.0,0.0
CHUCHA,"TURY, CARABIN3",Colombia,es,1,,neutral,0.16446775943040848,0.3187389522790909,0.0,0.0,0.0,0.0,0.0
KLOuFRENS,Bad Bunny,Colombia,es,1,,neutral,0.0,0.16789346933364868,0.0,0.09705730279286702,0.10819938778877258,0.0,0.0
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",Colombia,en,11,,joy,0.0,0.0,0.535895025730133,0.0,0.11940938234329224,0.0,0.0
El Mejor Caballo,Yeison Jimenez,Colombia,es,29,,fear,0.0,0.16395330429077148,0.0,0.2174921234448751,0.0,0.0,0.0
Niño,Milo j,Colombia,es,28,,neutral,0.0,0.4827098846435547,0.0,0.0,0.0,0.0,0.0
KOKO,Omar Courtz,Colombia,es,19,,neutral,0.0,0.4898354808489482,0.0,0.0,0.0,0.0,0.0
OHNANA,Kapo,Colombia,es,12,,neutral,0.0,0.4427134692668915,0.0,0.0,0.0,0.0,0.0
Permítame,"Tony Dize, Yandel",Colombia,es,1,,neutral,0.0,0.4676816016435623,0.0,0.0,0.0,0.0,0.0
DtMF,Bad Bunny,Global,es,19,,neutral,0.14421416322390238,0.2856918176015218,0.0,0.0,0.0,0.0,0.0
DtMF,Bad Bunny,Global,es,19,,neutral,0.14421416322390238,0.2856918176015218,0.0,0.0,0.0,0.0,0.0
DtMF,Bad Bunny,Global,es,19,,neutral,0.14421416322390238,0.2856918176015218,0.0,0.0,0.0,0.0,0.0
Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",Global,en,17,,surprise,0.0,0.0,0.11723215381304423,0.0,0.0,0.0,0.41912434498469037
Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",Global,en,17,,surprise,0.0,0.0,0.11723215381304423,0.0,0.0,0.0,0.41912434498469037
Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",Global,en,17,,surprise,0.0,0.0,0.11723215381304423,0.0,0.0,0.0,0.41912434498469037
Risk It All,Bruno Mars,Global,en,21,,anger,0.7032333612442017,0.0,0.0,0.0,0.0,0.0,0.0
Risk It All,Bruno Mars,Global,en,21,,anger,0.7032333612442017,0.0,0.0,0.0,0.0,0.0,0.0
Risk It All,Bruno Mars,Global,en,21,,anger,0.7032333612442017,0.0,0.0,0.0,0.0,0.0,0.0
End of Beginning,Djo,Global,en,3,,sadness,0.0,0.0,0.0,0.0,0.0,0.8239284753799438,0.0
End of Beginning,Djo,Global,en,3,,sadness,0.0,0.0,0.0,0.0,0.0,0.8239284753799438,0.0
End of Beginning,Djo,Global,en,3,,sadness,0.0,0.0,0.0,0.0,0.0,0.8239284753799438,0.0
Man I Need,Olivia Dean,Global,en,-1,,fear,0.0,0.1951428254445394,0.0,0.31180475155512494,0.0,0.0,0.19335283835728964
Man I Need,Olivia Dean,Global,en,-1,,fear,0.0,0.1951428254445394,0.0,0.31180475155512494,0.0,0.0,0.19335283835728964
The Fate of Ophelia,Taylor Swift,Global,en,0,,sadness,0.0,0.0,0.0,0.0,0.0,0.875088115533193,0.0
The Fate of Ophelia,Taylor Swift,Global,en,0,,sadness,0.0,0.0,0.0,0.0,0.0,0.875088115533193,0.0
The Fate of Ophelia,Taylor Swift,Global,en,0,,sadness,0.0,0.0,0.0,0.0,0.0,0.875088115533193,0.0
So Easy (To Fall In Love),Olivia Dean,Global,en,4,,joy,0.0,0.0,0.8622262179851532,0.0,0.0,0.0,0.0
So Easy (To Fall In Love),Olivia Dean,Global,en,4,,joy,0.0,0.0,0.8622262179851532,0.0,0.0,0.0,0.0
So Easy (To Fall In Love),Olivia Dean,Global,en,4,,joy,0.0,0.0,0.8622262179851532,0.0,0.0,0.0,0.0
BAILE INoLVIDABLE,Bad Bunny,Global,es,27,,fear,0.0989420215288798,0.1663496990998586,0.0,0.25771180788675946,0.0,0.0,0.0
BAILE INoLVIDABLE,Bad Bunny,Global,es,27,,fear,0.0989420215288798,0.1663496990998586,0.0,0.25771180788675946,0.0,0.0,0.0
BAILE INoLVIDABLE,Bad Bunny,Global,es,27,,fear,0.0989420215288798,0.1663496990998586,0.0,0.25771180788675946,0.0,0.0,0.0
I Just Might,Bruno Mars,Global,en,14,,sadness,0.0,0.0,0.16820492347081503,0.0,0.0,0.5228241682052612,0.0
I Just Might,Bruno Mars,Global,en,14,,sadness,0.0,0.0,0.16820492347081503,0.0,0.0,0.5228241682052612,0.0
NUEVAYoL,Bad Bunny,Global,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
NUEVAYoL,Bad Bunny,Global,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
NUEVAYoL,Bad Bunny,Global,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
back to friends,sombr,Global,en,5,,fear,0.0,0.0,0.0,0.4692058563232422,0.0,0.0,0.38449016213417053
back to friends,sombr,Global,en,5,,fear,0.0,0.0,0.0,0.4692058563232422,0.0,0.0,0.38449016213417053
back to friends,sombr,Global,en,5,,fear,0.0,0.0,0.0,0.4692058563232422,0.0,0.0,0.38449016213417053
Babydoll,Dominic Fike,Global,en,24,,surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.5096461176872253
Babydoll,Dominic Fike,Global,en,24,,surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.5096461176872253
WHERE IS MY HUSBAND!,RAYE,Global,en,-1,,fear,0.0,0.0,0.0,0.3088373616337776,0.0,0.0,0.23078563064336777
